id,name,timeline,involved_characters,result_influence
1,"大闹天宫","孙悟空去东海龙宫借宝之后，被招安为弼马温，又管理蟠桃园期间","孙悟空、玉皇大帝、太白金星、托塔天王李靖、哪吒三太子、观音菩萨、惠岸行者、二郎真君杨戬、太上老君、如来佛祖","孙悟空因不满弼马温职位，打出南天门，竖起“齐天大圣”旗号；搅乱蟠桃会，偷吃金丹；最终被如来佛祖压在五行山下，象征着强大的反抗力量被暂时压制，为后续取经故事做铺垫"
2,"三打白骨精","唐僧师徒四人行至白虎岭时","孙悟空、唐僧、猪八戒、沙僧、白骨精","白骨精先后变成村姑、老妪和老父，均被孙悟空识破打死；唐僧不辨人妖，责怪孙悟空恣意行凶，将其赶回花果山；后来唐僧被白骨精擒获，猪八戒找回孙悟空，孙悟空救出唐僧，使唐僧认识到自己的错误，也体现了孙悟空的忠诚和除恶务尽的决心"
3,"九九八十一难","唐僧师徒领了如来佛祖法旨，西天取经的整个过程中","唐僧、孙悟空、猪八戒、沙僧、白龙马以及各路神仙、妖怪等","经历重重磨难，如黄风怪阻、乌鸡国救主、西梁国留婚、三调芭蕉扇等；最终唐僧师徒取得真经，修成正果，彰显了坚持、勇敢和智慧的力量，体现了历经磨难才能获得成功的道理"
4,"双叉岭路遇老虎精","贞观十三年深秋","唐僧、寅将军、熊山君、特处士、太白金星","三藏逃走，得到太白金星解救，是唐僧取经路上初次遭遇危险，展现了取经之路的艰难"
5,"两界山收孙悟空","贞观十三年入冬后","唐僧、孙悟空","孙悟空被唐僧救出，拜唐僧为师，加入取经队伍，为取经团队增添了强大的战斗力"
6,"蛇盘山鹰愁涧收白龙马","贞观十三年腊月","唐僧、孙悟空、白龙马（西海龙王敖闰之子）","白龙马被收编，成为唐僧的坐骑，助力取经之旅"
7,"黑风山遇黑熊精","贞观十四年二月","孙悟空、唐僧、黑熊精、观音菩萨","观音收黑熊精为守山之神，找回唐僧的袈裟，解决了取经途中的一个阻碍"
8,"高老庄收猪八戒","贞观十四年初春","唐僧、孙悟空、猪八戒","猪八戒被唐僧收为徒弟，一同保护唐僧去西天取经，壮大了取经团队"
9,"黄风岭遇黄风怪","贞观十四年夏初","唐僧、孙悟空、猪八戒、黄风怪、灵吉菩萨","灵吉菩萨收走黄风怪，唐僧师徒摆脱困境，继续前行"
10,"流沙河收沙僧","贞观十四年初秋","唐僧、孙悟空、猪八戒、沙僧","沙僧被唐僧收为徒弟，取经团队进一步完善"
11,"碗子山波月洞遇黄袍怪","贞观十六年秋冬","唐僧、孙悟空、猪八戒、沙僧、黄袍怪（奎木狼）、百花羞公主","黄袍怪将唐僧变成老虎，白龙马让八戒去请孙悟空回来救师父；孙悟空与奎木狼大战，最终将其打败，救出唐僧，奎木狼被带回天庭罚为太上老君烧火，体现了孙悟空的救师之情和强大实力"
12,"平顶山莲花洞遇金角银角大王","贞观十七年春","唐僧、孙悟空、猪八戒、沙僧、金角大王、银角大王、太上老君","太上老君带走金角银角大王，孙悟空降伏二怪，获得宝贝，保障了唐僧师徒的安全"
13,"压龙山压龙洞遇九尾狐狸","贞观十七年","孙悟空、九尾狐狸","悟空打死九尾狐狸，削弱了金角银角大王的势力"
14,"乌鸡国遇青毛狮","贞观十七年秋","唐僧、孙悟空、猪八戒、沙僧、青毛狮、文殊菩萨、乌鸡国国王","文殊菩萨带走青毛狮，孙悟空救活乌鸡国国王，使其重登王位，展现了孙悟空的救世热忱和文殊菩萨的慈悲"
15,"钻头号山枯松涧火云洞遇红孩儿","贞观十七年初冬","唐僧、孙悟空、猪八戒、沙僧、红孩儿、观音菩萨","观音收红孩儿为善财童子，解决了红孩儿带来的威胁，也体现了观音菩萨的法力和慈悲"
16,"黑水河遇鼍龙怪","贞观十八年冬尽腊末","唐僧、孙悟空、猪八戒、沙僧、鼍龙怪、摩昂太子","摩昂太子捉回鼍龙怪，唐僧师徒顺利通过黑水河"
17,"车迟国遇黄毛虎精、白毛角鹿精、羚羊精","贞观十九年早春","唐僧、孙悟空、猪八戒、沙僧、黄毛虎精、白毛角鹿精、羚羊精","悟空打死三怪，佛教在车迟国得以复兴，体现了正义战胜邪恶"
18,"通天河遇鲤鱼精","贞观十九年七月","唐僧、孙悟空、猪八戒、沙僧、鲤鱼精、观音菩萨","观音收走鲤鱼精，唐僧被老鼋驮渡河，继续取经之路"
19,"金兜山兜金洞遇独角兕大王","贞观十九年严冬","唐僧、孙悟空、猪八戒、沙僧、独角兕大王、太上老君","太上老君收回独角兕大王，孙悟空在众神协助下降伏妖怪，使唐僧师徒摆脱困境"
20,"毒敌山琵琶洞遇蝎子精","贞观二十年早春","唐僧、孙悟空、猪八戒、沙僧、蝎子精、昴日星官","昴日星官杀死蝎子精，解救了唐僧，展示了正义力量对邪恶的打击"
21,"遇六耳猕猴","贞观二十年六月后","孙悟空、六耳猕猴、唐僧、猪八戒、沙僧、如来佛祖","悟空打死六耳猕猴，辨别出真假美猴王，维护了取经团队的稳定"
22,"火焰山遭遇","贞观二十年秋","唐僧、孙悟空、猪八戒、沙僧、铁扇公主、牛魔王、玉面公主、哪吒","铁扇公主原地做妖，玉面公主被八戒打死，牛魔王被哪吒降服，孙悟空借到芭蕉扇，扇灭火焰山大火，唐僧师徒得以通过火焰山，体现了孙悟空的智慧和团队协作的重要性"
23,"乱石山碧波潭遇九头虫","贞观二十年冬初","唐僧、孙悟空、猪八戒、沙僧、九头虫","九头虫伤残逃走，夺回祭赛国的舍利，为祭赛国恢复了荣誉"
