难次,难名,主要人物,地点,事件描述,象征意义,文化内涵
1,金蝉遭贬,金蝉子(唐僧前世)、如来佛祖,灵山,唐僧前世金蝉子因不敬佛法被贬下凡,因果轮回的起点,佛教因果报应思想
2,出胎几杀,陈光蕊、殷温娇、刘洪,船上和江边,船夫刘洪害死唐僧父亲霸占其母,生命的危险境遇,善恶有报的体现
3,满月抛江,殷温娇、法明和尚,江上和金山寺,母亲将唐僧放在江上漂流被法明和尚救起,与佛教结缘的开始,佛缘天定的思想
4,寻亲报冤,玄奘、殷温娇、殷开山,金山寺和江州,唐僧得知身世为父报仇,早期智慧和勇气的展现,儒家孝道思想
5,出城逢虎,唐僧、寅将军,长安城外,唐僧出城遇老虎精,取经路上第一难,修行路上的考验开始
6,落坑折从,唐僧、寅将军、太白金星,双叉岭,唐僧落坑两随从被吃,初期的脆弱无助,神佛保护的体现
7,双叉岭上,唐僧、刘伯钦,双叉岭,遇猛虎得刘伯钦搭救,取经路上的艰难险阻,人间善缘的重要性
8,两界山头,唐僧、孙悟空,五行山,唐僧揭去六字真言放出孙悟空,取经队伍组建开始,师徒缘分的建立
9,陡涧换马,唐僧、孙悟空、小白龙,鹰愁涧,小白龙吃掉白马后变成白龙马,白龙马来历,观音慈悲智慧
10,夜被火烧,唐僧、孙悟空、观音院老院主、黑熊精,观音院,老院主贪袈裟放火行凶,人性贪婪的体现,贪欲是修行障碍
11,失却袈裟,孙悟空、黑熊精、观音菩萨,黑风山,黑熊精偷袈裟被观音降伏,降魔除障,佛法无边的体现
12,收降八戒,唐僧、孙悟空、猪八戒,高老庄,高老庄遇猪妖收为徒弟,取经队伍进一步壮大,团队建设的重要性
13,黄风怪阻,唐僧、孙悟空、黄风怪,黄风岭,黄风岭遇黄风怪唐僧被捉,修行路上的重大考验,外魔与内魔的斗争
14,请求灵吉,孙悟空、灵吉菩萨,黄风岭,灵吉菩萨用飞龙杖降伏黄风怪,求助于佛的智慧,佛教互助精神
15,流沙难渡,唐僧、孙悟空、沙僧,流沙河,流沙河水湍急难以渡过,自然障碍的考验,修行路上的艰险
16,收得沙僧,孙悟空、沙僧、木叉行者,流沙河,观音派木叉协助收沙悟净为徒,取经队伍最终组建完成,团队圆满的象征
17,四圣显化,黎山老母、观音、普贤、文殊菩萨、唐僧师徒,西牛贺洲,四位菩萨化母女考验师徒禅心,禅心的考验,菩萨慈悲智慧
18,五庄观中,唐僧、孙悟空、镇元大仙,万寿山五庄观,唐僧不敢吃人参果悟空推倒人参果树,顽皮冲动的后果,道教与佛教的交融
19,难活人参,孙悟空、镇元大仙、观音菩萨,五庄观,镇元大仙抓师徒观音救活人参果树,救人救彻的思想,慈悲为怀的体现
20,贬退心猿,唐僧、孙悟空、白骨精,白虎岭,孙悟空三打白骨精被唐僧赶走,师徒矛盾,慈悲与智慧的冲突
21,黑松林失散,唐僧、黄袍怪、百花羞公主,碗子山波月洞,唐僧误入波月洞被黄袍怪所捉,善良的危险性,识别真假的重要性
22,宝象国捎书,唐僧、猪八戒、沙僧、百花羞公主,宝象国,唐僧为公主捎信八戒沙僧营救公主,慈悲智慧的体现,助人为乐的精神
23,金銮殿变虎,孙悟空、黄袍怪、白龙马,宝象国皇宫,黄袍怪将唐僧变成老虎,师徒深厚感情,团队协作的重要性
24,平顶山逢魔,唐僧、孙悟空、金角银角大王,平顶山莲花洞,师徒遇金角银角大王被抓,法宝众多的考验,道教法宝的威力
25,莲花洞高悬,孙悟空、太上老君,莲花洞,悟空智斗银角太上老君收回童子,智慧战胜法宝,道教与佛教关系
26,乌鸡国救主,唐僧、孙悟空、狮猁怪,乌鸡国,乌鸡国王被狮猁怪害死师徒救活国王,救人救彻思想,正义战胜邪恶
27,被魔化身,孙悟空、狮猁怪、文殊菩萨,乌鸡国,狮猁怪变成唐僧被紧箍咒识破,降魔思想,佛教降魔理念
28,号山逢怪,唐僧、孙悟空、红孩儿,钻头号山,红孩儿化成被绑架小孩蒙骗唐僧,慈悲的考验,识别真假的智慧
29,风摄圣僧,唐僧、孙悟空、红孩儿,钻头号山,红孩儿用狂风卷走唐僧,神通与凶残,邪恶力量的强大
30,心猿遭害,孙悟空、红孩儿、猪八戒,钻头号山,悟空被三昧真火所伤,修行中的挫折,磨难是成长必经路
31,请圣降妖,观音菩萨、红孩儿,钻头号山,观音菩萨收红孩儿为善财童子,慈悲为怀思想,佛教感化教育
